Team,Name,Position,ETR Rank,ADP,ADP Differential,Week_17,Week_16,Week_15,Division
CLE,D'Onta Foreman,RB,199,205.9,6.9,MIA,CIN,KC,AFC NORTH
LAC,J.K. Dobbins,RB,200,152.1,-47.9,NE,DEN,TB,AFC WEST
DEN,Samaje Perine,RB,201,227.2,26.2,CIN,LAC,IND,AFC WEST
LV,Michael Mayer,TE,202,220.2,18.2,NO,JAX,ATL,AFC WEST
LAC,D.J. Chark,WR,203,205.5,2.5,NE,DEN,TB,AFC WEST
DEN,Josh Reynolds,WR,204,225.5,21.5,CIN,LAC,IND,AFC WEST
MIA,Jonnu Smith,TE,205,191.4,-13.6,CLE,SF,HOU,AFC EAST
KC,Clyde Edwards-Helaire,RB,206,219.3,13.3,PIT,HOU,CLE,AFC WEST
CAR,Bryce Young,QB,207,184.0,-23.0,TB,ARI,DAL,NFC SOUTH
BUF,Dawson Knox,TE,208,224.8,16.8,NYJ,NE,DET,AFC EAST
KC,Jerick McKinnon,RB,209,230.1,21.1,PIT,HOU,CLE,AFC WEST
TEN,Tyler Boyd,WR,210,212.9,2.9,JAX,IND,CIN,AFC SOUTH
JAX,Tank Bigsby,RB,211,215.8,4.8,TEN,LV,NYJ,AFC SOUTH
NYG,Tyrone Tracy,RB,212,180.7,-31.3,IND,ATL,BAL,NFC EAST
SF,Elijah Mitchell,RB,213,201.4,-11.6,DET,MIA,LAR,NFC WEST
DEN,Greg Dulcich,TE,214,229.8,15.8,CIN,LAC,IND,AFC WEST
DEN,Bo Nix,QB,215,200.6,-14.4,CIN,LAC,IND,AFC WEST
ARI,Greg Dortch,WR,216,226.6,10.6,LAR,CAR,NE,NFC WEST
NYG,Daniel Jones,QB,217,193.9,-23.1,IND,ATL,BAL,NFC EAST
LAC,Hayden Hurst,TE,218,228.5,10.5,NE,DEN,TB,AFC WEST
PHI,Kenneth Gainwell,RB,219,227.7,8.7,DAL,WAS,PIT,NFC EAST
BAL,Keaton Mitchell,RB,220,193.6,-26.4,HOU,PIT,NYG,AFC NORTH
DEN,Troy Franklin,WR,221,167.7,-53.3,CIN,LAC,IND,AFC WEST
LAR,Colby Parkinson,TE,222,228.9,6.9,ARI,NYJ,SF,NFC WEST
SF,Isaac Guerendo,RB,223,219.6,-3.4,DET,MIA,LAR,NFC WEST
BAL,Devontez Walker,WR,224,214.2,-9.8,HOU,PIT,NYG,AFC NORTH
PIT,Russell Wilson,QB,225,204.6,-20.4,KC,BAL,PHI,AFC NORTH
NO,A.T. Perry,WR,226,228.8,2.8,LV,GB,WAS,NFC SOUTH
BUF,Marquez Valdes-Scantling,WR,227,225.6,-1.4,NYJ,NE,DET,AFC EAST
TEN,Treylon Burks,WR,228,228.1,0.1,JAX,IND,CIN,AFC SOUTH
LV,Dylan Laube,RB,229,223.5,-5.5,NO,JAX,ATL,AFC WEST
LV,Alexander Mattison,RB,231,217.3,-13.7,NO,JAX,ATL,AFC WEST
CAR,Jonathan Mingo,WR,232,229.5,-2.5,TB,ARI,DAL,NFC SOUTH
CIN,Mike Gesicki,TE,233,211.7,-21.3,DEN,CLE,TEN,AFC NORTH
BAL,Rasheen Ali,RB,234,230.0,-4.0,HOU,PIT,NYG,AFC NORTH
IND,Evan Hull,RB,235,228.3,-6.7,NYG,TEN,DEN,AFC SOUTH
CIN,Trenton Irwin,WR,236,227.4,-8.6,DEN,CLE,TEN,AFC NORTH
NYJ,Braelon Allen,RB,237,228.9,-8.1,BUF,LAR,JAX,AFC EAST
HOU,Dameon Pierce,RB,238,188.8,-49.2,BAL,KC,MIA,AFC SOUTH
TB,Trey Palmer,WR,239,227.9,-11.1,CAR,DAL,LAC,NFC SOUTH
NO,Cedrick Wilson,WR,240,260.0,20.0,LV,GB,WAS,NFC SOUTH
LV,Tre Tucker,WR,241,230.7,-10.3,NO,JAX,ATL,AFC WEST
CAR,Miles Sanders,RB,242,228.5,-13.5,TB,ARI,DAL,NFC SOUTH
DEN,Audric Estime,RB,243,212.8,-30.2,CIN,LAC,IND,AFC WEST
LAR,Davis Allen,TE,244,229.1,-14.9,ARI,NYJ,SF,NFC WEST
CIN,Tanner Hudson,TE,246,227.8,-18.2,DEN,CLE,TEN,AFC NORTH
CHI,Roschon Johnson,RB,247,195.2,-51.8,SEA,DET,MIN,NFC NORTH
PIT,Van Jefferson,WR,248,227.8,-20.2,KC,BAL,PHI,AFC NORTH
PIT,Justin Fields,QB,249,194.5,-54.5,KC,BAL,PHI,AFC NORTH
NO,Jamaal Williams,RB,250,227.8,-22.2,LV,GB,WAS,NFC SOUTH
GB,A.J. Dillon,RB,251,223.4,-27.6,MIN,NO,SEA,NFC NORTH
TB,Chase Edmonds,RB,252,260.0,8.0,CAR,DAL,LAC,NFC SOUTH
DET,Kalif Raymond,WR,253,227.0,-26.0,SF,CHI,BUF,NFC NORTH
PHI,Will Shipley,RB,254,210.9,-43.1,DAL,WAS,PIT,NFC EAST
BAL,Nelson Agholor,WR,255,227.6,-27.4,HOU,PIT,NYG,AFC NORTH
DET,Donovan Peoples-Jones,WR,256,225.3,-30.7,SF,CHI,BUF,NFC NORTH
NYJ,Isaiah Davis,RB,257,260.0,3.0,BUF,LAR,JAX,AFC EAST
HOU,Noah Brown,WR,258,226.0,-32.0,BAL,KC,MIA,AFC SOUTH
DEN,Tim Patrick,WR,259,230.2,-28.8,CIN,LAC,IND,AFC WEST
IND,Alec Pierce,WR,260,227.2,-32.8,NYG,TEN,DEN,AFC SOUTH
BAL,Justice Hill,RB,261,227.5,-33.5,HOU,PIT,NYG,AFC NORTH
BUF,Ty Johnson,RB,262,228.8,-33.3,NYJ,NE,DET,AFC EAST
PHI,Ainias Smith,WR,263,227.1,-35.9,DAL,WAS,PIT,NFC EAST
NYJ,Jeremy Ruckert,TE,264,260.0,-4.0,BUF,LAR,JAX,AFC EAST
LAC,Brenden Rice,WR,265,222.6,-42.4,NE,DEN,TB,AFC WEST
NYJ,Allen Lazard,WR,266,222.4,-43.6,BUF,LAR,JAX,AFC EAST
NE,K.J. Osborn,WR,267,230.1,-36.9,LAC,BUF,ARI,AFC EAST
NYG,Theo Johnson,TE,268,229.5,-38.5,IND,ATL,BAL,NFC EAST
NYJ,Israel Abanikanda,RB,269,229.4,-39.6,BUF,LAR,JAX,AFC EAST
CIN,Andrei Iosivas,WR,270,230.3,-39.7,DEN,CLE,TEN,AFC NORTH
CAR,Ja'Tavion Sanders,TE,272,202.3,-69.7,TB,ARI,DAL,NFC SOUTH
IND,Kylen Granson,TE,273,230.5,-42.5,NYG,TEN,DEN,AFC SOUTH
MIN,Trent Sherfield,WR,274,260.0,-14.0,GB,SEA,CHI,NFC NORTH
LAC,Donald Parham,TE,275,225.9,-49.1,NE,DEN,TB,AFC WEST
LAR,Tyler Higbee,TE,276,226.8,-49.2,ARI,NYJ,SF,NFC WEST
CAR,Tommy Tremble,TE,277,260.0,-17.0,TB,ARI,DAL,NFC SOUTH
SF,Jauan Jennings,WR,278,225.5,-52.5,DET,MIA,LAR,NFC WEST
MIN,Brandon Powell,WR,279,229.6,-49.4,GB,SEA,CHI,NFC NORTH
LV,Michael Gallup,WR,280,226.0,-54.0,NO,JAX,ATL,AFC WEST
DAL,Deuce Vaughn,RB,281,228.7,-52.3,PHI,TB,CAR,NFC EAST
LAR,Tutu Atwell,WR,282,224.6,-57.4,ARI,NYJ,SF,NFC WEST
JAX,D'Ernest Johnson,RB,283,228.2,-54.8,TEN,LV,NYJ,AFC SOUTH
SEA,Laviska Shenault,WR,284,260.0,-24.0,CHI,MIN,GB,NFC WEST
WAS,Zach Ertz,TE,285,226.3,-58.7,ATL,PHI,NO,NFC EAST
MIA,Braxton Berrios,WR,286,260.0,-26.0,CLE,SF,HOU,AFC EAST
CHI,Gerald Everett,TE,287,228.7,-58.3,SEA,DET,MIN,NFC NORTH
NYG,Gary Brightwell,RB,288,260.0,-28.0,IND,ATL,BAL,NFC EAST
KC,Noah Gray,TE,289,228.1,-60.9,PIT,HOU,CLE,AFC WEST
CLE,Jamari Thrash,WR,290,229.2,-60.8,MIA,CIN,KC,AFC NORTH
ARI,Chris Moore,WR,291,260.0,-31.0,LAR,CAR,NE,NFC WEST
NYG,Eric Gray,RB,292,230.5,-61.5,IND,ATL,BAL,NFC EAST
SF,Jacob Cowing,WR,293,225.4,-67.6,DET,MIA,LAR,NFC WEST
PHI,Johnny Wilson,WR,294,227.8,-66.2,DAL,WAS,PIT,NFC EAST
NYG,Darren Waller,TE,295,204.2,-90.8,IND,ATL,BAL,NFC EAST
MIN,Johnny Mundt,TE,296,260.0,-36.0,GB,SEA,CHI,NFC NORTH
LV,Ameer Abdullah,RB,297,260.0,-37.0,NO,JAX,ATL,AFC WEST
MIA,Jeffery Wilson,RB,298,260.0,-38.0,CLE,SF,HOU,AFC EAST
NE,JuJu Smith-Schuster,WR,299,227.2,-71.8,LAC,BUF,ARI,AFC EAST
TEN,Nick Westbrook-Ikhine,WR,300,260.0,-40.0,JAX,IND,CIN,AFC SOUTH
